Word,ExcludedSenses,WordnetSenses,WordnetSubsenses,Notes,Examples,Syntax1,Syntax2,Syntax3,Semantics1,Semantics2,Semantics3,ThRole1,ThRole2,ThRole3
add,#,2,#,#,Kim added that she agreed,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
add,#,2,#,#,Kim added that she agreed,NP,Scomp,#,sentient,info,#,AGNT,Said,
address,#,1 2 5 7,#,#,Kim addressed Mary (as president),NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
address,#,1 2 5 7,#,#,Kim addressed Mary (as president),NP,NP,#,sentient,sentient,#,AGNT,RCPT,
address,#,3,#,#,Kim addressed the letter,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
address,#,3,#,#,Kim addressed the letter,NP,NP,PP(with),sentient,physobj,image,AGNT,PTNT,RSLT
address,#,4 6,#,#,Kim addressed herself to the problem,NP,NPrefl,PP(to),sentient,sentient,abstract,AGNT,PTNT,Experienced
address,#,4 6,#,#,Kim addressed herself to the problem,NP,NP,#,sentient,abstract,#,AGNT,Experienced,
adhere,#,1 2 3,#,#,The poster adhered to the wall,NP,PP(to),#,physobj,location,#,AGNT,LOC,
adjudge,#,1,#,#,Kim adjudged Mary the winner,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
adjudge,#,1,#,#,Kim adjudged Mary the winner,NP,NP,NP,sentient,*,*,AGNT,RCPT,THME
adjudicate,#,1,#,#,Kim adjudicated the game to be fair,NP,NP,NP,sentient,*,*,AGNT,RCPT,THME
adjudicate,#,1,#,#,Kim adjudicated the game to be fair,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
adjust,#,1 3 5,#,#,Kim adjusted the clock,NP,NP,#,*,*,#,EFNT,PTNT,
adjust,#,2 4,#,#,Kim adjusted to the situation,NP,#,#,*,#,#,EFNT,#,
adjust,#,2 4,#,#,Kim adjusted to the situation,NP,NPrefl,PP(to),*,*,*,EFNT,PTNT,THME
adjust,#,2 4,#,#,Kim adjusted to the situation,NP,PP(to),#,*,*,#,EFNT,THME,
administer,1,3,2,sense 1 excluded as rare,Kim administered the drug to the patient,NP,NP,PP(to),sentient,*,*,AGNT,THME,RCPT
admire,#,1 2,#,#,Kim admires Mary,NP,NP,#,sentient,*,#,EXPR,Experienced,
admit,#,1,#,#,Kim admitted that Mary was right,NP,NP,VPinf,*,*,*,AGNT,THME,FORM
admit,#,1,#,#,Kim admitted that Mary was right,NP,Scomp(that),#,sentient,abstract,#,AGNT,Said,
admit,#,2 3 4 5,#,#,The club cannot admit minors/We cannot admit minors into the club,NP,NP,#,location,sentient,#,LOC,PTNT,
admit,#,2 3 4 5,#,#,The club cannot admit minors/We cannot admit minors into the club,NP,NP,PP,sentient,sentient,location,AGNT,PTNT,LOC
adopt,5,1 2 3 4,#,sense 5 is surely a mistake,Kim adopted Mary's child as her own/Kim adopted Mary's child to be her own,NP,NP,PP(as),sentient,*,*,AGNT,RCPT,THME
adopt,5,1 2 3 4,#,sense 5 is surely a mistake,Kim adopted Mary's child as her own/Kim adopted Mary's child to be her own,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
adore,#,1,#,#, Kim adores chocolate,NP,NP,#,sentient,*,#,EXPR,Experienced,
adorn,#,1 2,3,#,Kim adorned the room with flowers,NP,NP,#,animate,location,#,EFNT,LOC,
adorn,#,1 2,3,#,Kim adorned the room with flowers,NP,NP,PP(with),animate,location,*,EFNT,LOC,THME
adorn,#,1 2,3,#,Kim adorned the room with flowers,NP,NP,#,*,location,#,THME,LOC,
advance,8,1,#,8 = clock sense - very rare,Kim advanced towards the door,NP,#,#,animate,#,#,EFNT,#,
advance,8,10,#,#,The company advanced Kim one month's salary,NP,NP,NP,sentient,sentient,*,AGNT,RCPT,THME
advance,8,10,#,#,The company advanced Kim one month's salary,NP,NP,#,sentient,*,#,AGNT,THME,
advance,8,10,#,#,The company advanced Kim one month's salary,NP,NP,PP(to),sentient,*,sentient,AGNT,THME,RCPT
advance,8,2,#,#,Kim advanced several helpful suggestions,NP,NP,#,sentient,info,#,AGNT,said,
advance,8,5,3 4 6 7 9,"3 4 and 9 = causing figurative movement forward, 6 7 and 11 = decausativized fig movt forward ",The general advanced the troops / The troops advanced,NP,NP,#,*,physobj,#,EFNT,PTNT,
advance,8,5,3 4 6 7 9,"3 4 and 9 = causing figurative movement forward, 6 7 and 11 = decausativized fig movt forward ",The general advanced the troops / The troops advanced,NP,#,#,physobj,#,#,PTNT,#,
advertize,#,1,#,#,Kim advertised in the paper for help,NP,PP(in),#,sentient,location,#,AGNT,LOC,
advertize,#,1,#,#,Kim advertised in the paper for help,NP,PP(in),PP(for),sentient,location,*,AGNT,LOC,THME
advertize,#,1,#,#,Kim advertised in the paper for help,NP,PP(for),#,sentient,*,#,AGNT,THME,
advise,#,1 2 3,#,#,Kim advised John,NP,PP,#,sentient,*,#,AGNT,Said,
advise,#,1 2 3,#,#,Kim advised John,NP,NP,#,sentient,sentient,#,AGNT,Addressee,
advise,#,1 2 3,#,#,Kim advised John,NP,Scomp,#,sentient,*,#,AGNT,Said,
advise,#,1 2 3,#,#,Kim advised John,NP,NP,PP(of),sentient,sentient,*,AGNT,Addressee,Said
advise,#,1 2 3,#,#,Kim advised John,NP,NP,Scomp,sentient,sentient,*,AGNT,Addressee,Said
advocate,#,1 2,#,#,Kim advocated abstinence,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
advocate,#,1 2,#,#,Kim advocated abstinence,NP,NP,#,sentient,info,#,AGNT,said,
affect,#,1 2 5,#,#,The movie affected Kim,NP,NP,#,*,sentient,#,Experienced,EXPR,
affect,#,3,#,"This WN sense seems unlikely, but cf concern",The meeting affected Kim,NP,NP,#,*,*,#,MED,TELC,
affect,#,4,#,#,Kim affected indifference,NP,NP,#,sentient,abstract,#,EXPR,Experienced,
affirm,#,1 3,#,#,Kim affirmed Mary's statement/Kim affirmed that Mary's statement was true,NP,Scomp(that),#,*,info,#,EFNT,PTNT,
affirm,#,1 3,#,#,Kim affirmed Mary's statement/Kim affirmed that Mary's statement was true,NP,NP,#,*,info,#,EFNT,PTNT,
affirm,#,2,#,Class 29 4 to be reassessed,Kim affirmed Kim to be innocent,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
afford,1,2,#,sense 1 excluded as requiring support verb,Kim's absence afforded Mary the opportunity to visit England,NP,NP,NP,*,sentient,*,EFNT,RCPT,THME
afford,1,2,#,sense 1 excluded as requiring support verb,Kim's absence afforded Mary the opportunity to visit England,NP,NP,NP,sentient,sentient,*,AGNT,RCPT,THME
age,#,1 2 3 4,#,#,Kim's illness aged her/ Kim aged,NP,#,#,physobj,#,#,PTNT,#,
age,#,1 2 3 4,#,#,Kim's illness aged her/ Kim aged,NP,NP,#,*,physobj,#,EFNT,PTNT,
aggravate,#, 1 2,#,#, Spiders aggravate Kim,NP,NP,#,*,sentient,#,Experienced,EXPR,
aggregate,1,2,#,#,The three companies aggregated,NP,#,#,*,#,#,FORM,#,
aggregate,1,2,#,#,The three companies aggregated,NP,NP,#,sentient,*,#,AGNT,FORM,
aggregate,1,2,#,#,The three companies aggregated,NP,NP,PP(with),sentient,*,*,AGNT,FORM,FORM
agree,#,1 7,3 4 5 6,senses 3 4 5 6 = sense extension  Template added to allow broader preferences,Kim agreed with Mary/Kim and Mary agreed,NP,PP(with),#,sentient,sentient,#,AGNT,Addressee,
agree,#,1 7,3 4 5 6,senses 3 4 5 6 = sense extension  Template added to allow broader preferences,Kim agreed with Mary/Kim and Mary agreed,NP,#,#,sentient,#,#,AGNT,#,
agree,#,1 7,3 4 5 6,senses 3 4 5 6 = sense extension  Template added to allow broader preferences,Kim agreed with Mary/Kim and Mary agreed,NP,PP(with),#,*,*,#,EFNT,THME,
agree,#,1 7,3 4 5 6,senses 3 4 5 6 = sense extension  Template added to allow broader preferences,Kim agreed with Mary/Kim and Mary agreed,NP,PP(with),PP(about),sentient,sentient,*,AGNT,Addressee,Said
agree,#,2,#,#,Kim agreed to go/Kim agreed that she should go,NP,VPinf,#,sentient,*,#,AGNT,RSLT,
agree,#,2,#,#,Kim agreed to go/Kim agreed that she should go,NP,Scomp(that),#,sentient,*,#,AGNT,THME,
aid,#,1 2,#,#,The treatment aided Kim's recovery/The treatment aided Kim to recover,NP,NP,#,*,*,#,EFNT,PTNT,
aid,#,1 2,#,#,The treatment aided Kim's recovery/The treatment aided Kim to recover,NP,NP,VPinf,*,*,action,EFNT,PTNT,THME
aim,#,1 2 5,#,#,Kim aimed her comments at Mary,NP,NP,PP,sentient,*,*,AGNT,PTNT,Goal
aim,#,3 4,#,#,Kim aimed to meet the deadline,NP,VPinf,#,sentient,*,#,AGNT,THME,
air,#,1 2 5 6,#,#,Kim aired the laundry/The laundry aired,NP,#,#,physobj,#,#,PTNT,#,
air,#,1 2 5 6,#,#,Kim aired the laundry/The laundry aired,NP,NP,#,*,physobj,#,EFNT,PTNT,
air,#,3 4,#,#,Kim aired her opinions/Kim's opinions aired,NP,#,#,abstract,#,#,PTNT,#,
air,#,3 4,#,#,Kim aired her opinions/Kim's opinions aired,NP,NP,#,*,abstract,#,EFNT,PTNT,
alarm,#, 1 2,#,#, Spiders alarm Kim,NP,NP,#,*,sentient,#,Experienced,EXPR,
alert,#,1,#,#,Kim alerted the media (that she would resign),NP,NP,Scomp,sentient,sentient,*,AGNT,Addressee,Said
alert,#,1,#,#,Kim alerted the media (that she would resign),NP,NP,#,sentient,sentient,#,AGNT,Addressee,
alert,#,1,#,#,Kim alerted the media (that she would resign),NP,NP,PP(of),sentient,sentient,*,AGNT,Addressee,Said
allege,#,1,#,#,Kim alleged that it was a lie,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
allege,#,1,#,#,Kim alleged that it was a lie,NP,Scomp,#,sentient,info,#,AGNT,Said,
allege,#,1,#,#,Kim alleged that it was a lie,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
allege,#,1,#,#,Kim alleged that it was a lie,NP,NP,#,sentient,info,#,AGNT,said,
allocate,#,1,#,#,Kim allocated the work to Mary,NP,NP,PP(to),sentient,*,sentient,AGNT,THME,RCPT
allocate,#,1,#,#,Kim allocated the work to Mary,NP,NP,#,sentient,*,#,AGNT,THME,
allocate,#,1,#,#,Kim allocated the work to Mary,NP,NP,NP,sentient,sentient,*,AGNT,RCPT,THME
allow,5 6,1 2 7,#,senses 5 and 6 excluded as phrasal,Kim allowed Mary to drive her car,NP,NP,#,sentient,*,#,AGNT,RSLT,
allow,5 6,1 2 7,#,senses 5 and 6 excluded as phrasal,Kim allowed Mary to drive her car,NP,NP,VPinf,sentient,sentient,action,AGNT,PTNT,THME
allow,5 6,3 4,#,#,They allowed Kim a second chance,NP,NP,#,sentient,*,#,AGNT,THME,
allow,5 6,3 4,#,#,They allowed Kim a second chance,NP,NP,NP,sentient,sentient,*,AGNT,RCPT,THME
allow,5 6,8,#,#,Kim allowed that Mary might have been right,NP,NP,VPinf,*,*,*,AGNT,THME,FORM
allow,5 6,8,#,#,Kim allowed that Mary might have been right,NP,Scomp(that),#,sentient,abstract,#,AGNT,Said,
alphabetize,#,1,#,#,Kim alphabetized the list,NP,NP,PP,sentient,physobj,sentient,AGNT,THME,RCPT
alphabetize,#,1,#,#,Kim alphabetized the list,NP,NP,#,sentient,physobj,#,AGNT,THME,
alphabetize,#,1,#,#,Kim alphabetized the list,NP,NP,PP,sentient,physobj,location,AGNT,THME,LOC
alphabetize,#,1,#,#,Kim alphabetized the list,NP,NP,PP,sentient,physobj,subst,AGNT,THME,MATR
alter,5,1 2 3 4,#,sense 5 excluded as rare and specialized,Kim altered her approach/Kim's approach altered,NP,NP,#,*,*,#,EFNT,PTNT,
alter,5,1 2 3 4,#,sense 5 excluded as rare and specialized,Kim altered her approach/Kim's approach altered,NP,#,#,*,#,#,PTNT,#,
alternate,#,1,#,#,The prices of goods alternated/Goods alternated in price,NP,#,#,*,#,#,EFNT,#,
alternate,#,1,#,#,The prices of goods alternated/Goods alternated in price,NP,PP(in),#,*,value,#,THME,MED,
alternate,#,2 3 4 5,#,#,Kim alternated her own ideas with Mary's,NP,NP,#,sentient,collective,#,AGNT,FORM,
alternate,#,2 3 4 5,#,#,Kim alternated her own ideas with Mary's,NP,NP,PP(with),sentient,*,*,AGNT,FORM,FORM
amaze,2,1,#, WN sense 2 not convincing, Kim's patience amazes me,NP,NP,#,*,sentient,#,Experienced,EXPR,
amend,#,1 2 3,#,#,Kim amended the document,NP,NP,#,*,*,#,EFNT,PTNT,
amputate,#,1,#,#,The surgeon amputated Kim's leg,NP,NP,#,sentient,bodypart,#,AGNT,PTNT,
amuse,#, 1 2,#,#, Kim's antics amuse me,NP,NP,#,*,sentient,#,Experienced,EXPR,
analyse,#,1 2 3,#,both spellings covered as both appear in lexicon,Kim analysed the data,NP,NP,#,sentient,*,#,AGNT,PTNT,
analyze,#,1 2 3,#,#,Kim analyzed the data,NP,NP,#,sentient,*,#,AGNT,PTNT,
anchor,#,1 2,#,#,Kim anchored the chair to the floor,NP,NPcoll,#,sentient,physobj,#,AGNT,THME,
anchor,#,1 2,#,#,Kim anchored the chair to the floor,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
anchor,#,1 2,#,#,Kim anchored the chair to the floor,NP,NP,Adj,sentient,physobj,*,AGNT,THME,RSLT
announce,#,12 3 4,#,#,Kim announced her retirement/ Kim announced that she was retiring/ Kim announced to everyone that she was retiring ,NP,Scomp,#,sentient,info,#,AGNT,Said,
announce,#,12 3 4,#,#,Kim announced her retirement/ Kim announced that she was retiring/ Kim announced to everyone that she was retiring ,NP,NP,#,sentient,info,#,AGNT,said,
announce,#,12 3 4,#,#,Kim announced her retirement/ Kim announced that she was retiring/ Kim announced to everyone that she was retiring ,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
announce,#,12 3 4,#,#,Kim announced her retirement/ Kim announced that she was retiring/ Kim announced to everyone that she was retiring ,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
annoy,#, 1 2,#,#, Kim's loud music annoys me,NP,NP,#,*,sentient,#,Experienced,EXPR,
anoint,#,1,#,#,Kim anointed the baby with oil,NP,NP,#,*,location,#,THME,LOC,
anoint,#,1,#,#,Kim anointed the baby with oil,NP,NP,PP(with),animate,location,*,EFNT,LOC,THME
answer,8,1 2 3 4 5,#,#,Kim answered that she would come,NP,NP,Scomp,sentient,sentient,info,AGNT,Addressee,Said
answer,8,1 2 3 4 5,#,#,Kim answered that she would come,NP,NP,#,sentient,info,#,AGNT,said,
answer,8,1 2 3 4 5,#,#,Kim answered that she would come,NP,NP,#,sentient,sentient,#,AGNT,Addressee,
answer,8,1 2 3 4 5,#,#,Kim answered that she would come,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
answer,8,1 2 3 4 5,#,#,Kim answered that she would come,NP,Scomp,#,sentient,info,#,AGNT,Said,
answer,8,6 7,#,#,Kim's application answered the entrance requirements,NP,NP,#,*,*,#,EFNT,FORM,
anticipate,6,1 2 3 4 5,#,sense 6 excluded as unlikely,Kim anticipated that Mary would come,NP,Scomp(that),#,sentient,abstract,#,AGNT,Said,
anticipate,6,1 2 3 4 5,#,sense 6 excluded as unlikely,Kim anticipated that Mary would come,NP,NP,VPinf,*,*,*,AGNT,THME,FORM
anticipate,6,1 2 3 4 5,#,sense 6 excluded as unlikely,Kim anticipated that Mary would come,NP,NP,#,sentient,*,#,AGNT,THME,
appeal,1,2,#," 1 is a specialised sense of 2, with understood but unexpressed object", Kim appealed to her husband (for help),NP,PP(to),#,sentient,sentient,#,AGNT,Addressee,
appeal,1,2,#," 1 is a specialised sense of 2, with understood but unexpressed object", Kim appealed to her husband (for help),NP,PP(to),#,sentient,sentient,#,AGNT,Addressee,
appeal,1, NIWN1,#, no applicable WordNet sense, The idea of a holiday in the sun appealed to Kim,NP,#,#,*,#,#,Experienced,#,
appeal,1, NIWN1,#, no applicable WordNet sense, The idea of a holiday in the sun appealed to Kim,NP,PP(to),#,*,sentient,#,Experienced,EXPR,
appeal,1, NIWN1,#, no applicable WordNet sense, The idea of a holiday in the sun appealed to Kim,NP,#,#,*,#,#,Experienced,#,
appeal,1, NIWN1,#, no applicable WordNet sense, The idea of a holiday in the sun appealed to Kim,NP,PP(to),#,*,sentient,#,Experienced,EXPR,
appear,#,1 4 8,#,#,Kim appeared happy/Kim appeared to be happy,NP,VPinf,#,*,state,#,EFNT,Ascribed,
appear,#,1 4 8,#,#,Kim appeared happy/Kim appeared to be happy,NP,Adj,#,*,state,#,EFNT,Ascribed,
appear,#,2 3 5,6 7,"subsenses 6 and 7 = appear on stage, appear in court",Kim appeared from behind the wall/Kim appeared,NP,PP,#,*,location,#,EFNT,LOC,
appear,#,2 3 5,6 7,"subsenses 6 and 7 = appear on stage, appear in court",Kim appeared from behind the wall/Kim appeared,NP,#,#,*,#,#,EFNT,#,
appease,#, 1 2 3,#,#, The music appeased Kim,NP,NP,#,*,sentient,#,Experienced,EXPR,
append,#,1 2 3,#,#,Kim appended a note,NP,NP,PP(with),sentient,physobj,physobj,AGNT,THME,THME
append,#,1 2 3,#,#,Kim appended a note,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
apply,#,1 3 7 8 9 10,#,#,Kim applied her skill to the task,NP,NP,PP(to),sentient,*,*,AGNT,THME,RCPT
apply,#,2 11,#,#,The new rules applied to Kim,NP,PP(to),#,*,*,#,AGNT,FORM,
apply,#,4,#,#,Kim applied ointment to her leg,NP,NP,PP,sentient,physobj,location,AGNT,THME,LOC
apply,#,5 6,#,#,Kim applied for the job,NP,PP(for),#,sentient,*,#,AGNT,Goal,
appoint,2 3,1,#,senses 2 and 3 = obscure,The company appointed Kim president,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
appoint,2 3,1,#,senses 2 and 3 = obscure,The company appointed Kim president,NP,NP,PP(as),sentient,*,*,AGNT,RCPT,THME
appoint,2 3,1,#,senses 2 and 3 = obscure,The company appointed Kim president,NP,NP,NP,sentient,*,*,AGNT,RCPT,THME
appreciate,#, 1 3,#,#, Kim appreciates good music,NP,NP,#,sentient,*,#,EXPR,Experienced,
appreciate,#,2,#, sentential complement, Kim appreciated that spiders could not harm her / Kim appreciates spiders cannot harm her,NP,NP,#,sentient,*,#,EXPR,THME,
appreciate,#,2,#, sentential complement, Kim appreciated that spiders could not harm her / Kim appreciates spiders cannot harm her,NP,Scomp(that),#,sentient,*,#,EXPR,THME,
appreciate,#,4,5,#, The value of my house appreciated / My house appreciated in value ,NP,PP(in),#,*,value,#,THME,MED,
appreciate,#,4,5,#, The value of my house appreciated / My house appreciated in value ,NP,#,#,*,#,#,EFNT,#,
apprehend,#,1,#,#,Kim apprehended the situation,NP,NP,#,sentient,*,#,EXPR,THME,
apprehend,#,1,#,#,Kim apprehended the situation,NP,Scomp(that),#,sentient,*,#,EXPR,THME,
apprehend,#,2,#,#,The police apprehended the criminal,NP,NP,#,sentient,*,#,AGNT,PTNT,
apprehend,#,3,#,#,Kim apprehended that Mary would come,NP,NP,VPinf,*,*,*,AGNT,THME,FORM
apprehend,#,3,#,#,Kim apprehended that Mary would come,NP,Scomp(that),#,sentient,abstract,#,AGNT,Said,
apprentice,#,1,#,#,Kim apprenticed Mary,NP,NP,#,sentient,sentient,#,AGNT,PTNT,
approach,#,1 5,2 4,2 and 4 = figurative subsenses,Kim approached the bus stop,NP,#,#,animate,#,#,EFNT,#,
approach,#,3,#,#,Kim approached her boss with a suggestion,NP,NP,PP(with),sentient,sentient,*,AGNT,RCPT,THME
appropriate,#,2,1,#,Kim appropriated the funds from the budget,NP,NP,#,*,*,#,EFNT,FORM,
appropriate,#,2,1,#,Kim appropriated the funds from the budget,NP,NP,PP(from),*,*,*,EFNT,FORM,SRCE
approve,#,1,#,#, Kim approved the new arrangement,NP,NP,#,sentient,*,#,AGNT,THME,
approve,#,2,#,#, Kim approved of the new arrangement,NP,#,#,sentient,#,#,EXPR,#,
approve,#,2,#,#, Kim approved of the new arrangement,NP,PP(of),#,sentient,*,#,EXPR,Experienced,
approximate,#,1,#,#,Kim's results approximated Mary's,NP,NP,#,*,*,#,FORM,FORM,
approximate,#,2,#,#,Kim approximated the price at $60,NP,NP,#,sentient,*,#,AGNT,THME,
approximate,#,2,#,#,Kim approximated the price at $60,NP,NP,PP(at),sentient,*,value,AGNT,THME,RSLT
arch,#,1,#,#,Kim arched her back,NP,NP,#,animate,bodypart,#,EFNT,THME,
archive,#,1,#,#,Kim archived the books,NP,NP,#,sentient,physobj,#,AGNT,THME,
